entrada,salida,atr,trades,ret,pf,dd
10,5,1.5,42,69.4,2.51,-9.8
10,5,2.0,41,67.7,2.44,-9.8
10,5,3.0,41,67.1,2.43,-9.8
10,10,1.5,33,57.7,2.41,-11.5
10,10,2.0,31,62.0,2.55,-9.6
10,10,3.0,29,69.3,2.89,-10.4
10,20,1.5,20,95.3,3.75,-12.1
10,20,2.0,17,103.6,4.28,-10.3
10,20,3.0,16,105.8,4.48,-11.1
20,5,1.5,28,66.1,3.51,-6.1
20,5,2.0,28,59.9,3.0,-7.2
20,5,3.0,28,59.0,2.94,-7.5
20,10,1.5,24,48.4,2.74,-7.3
20,10,2.0,24,40.1,2.23,-8.8
20,10,3.0,24,32.2,1.89,-10.8
20,20,1.5,15,98.8,5.73,-4.3
20,20,2.0,15,87.8,4.31,-5.8
20,20,3.0,15,73.9,3.24,-7.4
40,5,1.5,19,65.0,6.99,-4.1
40,5,2.0,19,63.0,6.16,-4.5
40,5,3.0,19,62.8,6.1,-4.6
40,10,1.5,16,51.3,6.14,-4.2
40,10,2.0,16,47.4,4.72,-5.4
40,10,3.0,16,43.5,3.83,-7.0
40,20,1.5,9,94.5,16.27,-1.9
40,20,2.0,9,92.4,13.33,-2.5
40,20,3.0,8,98.9,18.44,-2.8
55,5,1.5,18,57.5,6.99,-4.1
55,5,2.0,18,55.2,5.91,-4.8
55,5,3.0,18,55.0,5.85,-4.8
55,10,1.5,16,36.2,4.01,-4.1
55,10,2.0,15,41.4,4.36,-5.4
55,10,3.0,15,37.2,3.44,-7.4
55,20,1.5,8,89.6,15.37,-3.2
55,20,2.0,8,86.3,11.55,-4.2
55,20,3.0,8,83.4,9.4,-4.5
