hora_utc,ret_prom_pct,t_stat,pct_velas_alcistas,rango_prom_pct,n
0,0.0307,0.91,58.1,0.364,43
1,-0.0058,-0.12,46.5,0.455,43
2,-0.0149,-0.38,44.2,0.344,43
3,-0.0161,-0.61,46.5,0.255,43
4,0.002,0.09,51.2,0.197,43
5,-0.01,-0.25,41.9,0.361,43
6,0.0202,0.63,51.2,0.285,43
7,-0.0327,-1.15,39.5,0.281,43
8,-0.0474,-1.19,41.9,0.306,43
9,-0.0196,-0.74,46.5,0.266,43
10,0.0343,1.33,51.2,0.249,43
11,0.0524,1.58,48.8,0.282,43
12,0.0466,0.6,53.5,0.534,43
13,0.0061,0.11,48.8,0.524,43
14,0.0217,0.45,60.5,0.49,43
15,0.0126,0.3,58.1,0.408,43
16,-0.0097,-0.24,41.9,0.335,43
17,-0.0441,-1.69,34.9,0.272,43
18,-0.0939,-1.64,37.2,0.329,43
19,0.0129,0.42,44.2,0.287,43
20,-0.0432,-2.39,32.6,0.182,43
21,0.0009,0.13,36.4,0.046,11
22,0.015,0.62,46.5,0.22,43
23,0.004,0.15,55.8,0.239,43
