tf,patron,direccion,n,sigue_1_vela_pct,sigue_3_velas_pct,mov_3_velas_atr
M1,Martillo,1,26,42.3,50.0,0.052
M1,Hombre colgado,-1,24,62.5,45.8,-0.396
M1,Martillo invertido,1,17,41.2,47.1,-0.059
M1,Estrella fugaz,-1,25,44.0,28.0,-0.571
M1,Envolvente alcista,1,107,39.3,46.7,-0.068
M1,Envolvente bajista,-1,72,48.6,50.0,-0.05
M1,Harami alcista,1,5,60.0,60.0,0.516
M1,Harami bajista,-1,35,57.1,65.7,0.375
M1,Pauta penetrante,1,9,88.9,77.8,0.598
M1,Nube oscura,-1,3,33.3,33.3,-0.466
M1,Estrella de la mañana,1,8,37.5,37.5,-0.368
M1,Estrella de la tarde,-1,9,44.4,44.4,-0.106
M1,Tres soldados blancos,1,25,48.0,56.0,0.226
M1,Tres cuervos negros,-1,28,46.4,53.6,-0.08
M1,Marubozu alcista,1,39,51.3,51.3,0.132
M1,Marubozu bajista,-1,39,61.5,64.1,0.275
M1,Pinzas de suelo,1,24,41.7,54.2,0.03
M1,Pinzas de techo,-1,29,55.2,62.1,-0.3
M1,Doji,0,107,48.6,42.1,-0.075
M5,Martillo,1,24,25.0,25.0,-0.503
M5,Hombre colgado,-1,14,78.6,42.9,-0.267
M5,Martillo invertido,1,29,51.7,34.5,-0.102
M5,Estrella fugaz,-1,13,53.8,76.9,0.352
M5,Envolvente alcista,1,96,44.8,51.0,0.089
M5,Envolvente bajista,-1,61,45.9,47.5,-0.105
M5,Harami alcista,1,10,60.0,50.0,-0.059
M5,Harami bajista,-1,30,50.0,40.0,0.157
M5,Pauta penetrante,1,15,40.0,40.0,-0.099
M5,Nube oscura,-1,7,28.6,57.1,0.146
M5,Estrella de la mañana,1,8,62.5,25.0,-0.015
M5,Estrella de la tarde,-1,9,55.6,44.4,-0.084
M5,Tres soldados blancos,1,21,47.6,52.4,0.13
M5,Tres cuervos negros,-1,29,58.6,55.2,0.252
M5,Marubozu alcista,1,20,35.0,45.0,-0.063
M5,Marubozu bajista,-1,26,50.0,65.4,0.468
M5,Pinzas de suelo,1,28,57.1,53.6,0.099
M5,Pinzas de techo,-1,29,48.3,51.7,-0.247
M5,Doji,0,83,49.4,50.6,0.088
M15,Martillo,1,31,48.4,54.8,-0.457
M15,Hombre colgado,-1,22,59.1,45.5,0.111
M15,Martillo invertido,1,14,35.7,50.0,0.049
M15,Estrella fugaz,-1,20,60.0,55.0,0.446
M15,Envolvente alcista,1,85,54.1,51.8,-0.112
M15,Envolvente bajista,-1,86,53.5,52.3,0.178
M15,Harami alcista,1,13,53.8,53.8,-0.198
M15,Harami bajista,-1,21,61.9,47.6,0.101
M15,Pauta penetrante,1,10,40.0,40.0,0.068
M15,Nube oscura,-1,4,75.0,50.0,0.703
M15,Estrella de la mañana,1,3,33.3,33.3,-0.571
M15,Estrella de la tarde,-1,6,66.7,33.3,0.9
M15,Tres soldados blancos,1,37,62.2,43.2,-0.663
M15,Tres cuervos negros,-1,19,36.8,36.8,-0.531
M15,Marubozu alcista,1,41,51.2,41.5,1.111
M15,Marubozu bajista,-1,25,36.0,60.0,0.608
M15,Pinzas de suelo,1,21,38.1,61.9,-0.094
M15,Pinzas de techo,-1,34,58.8,58.8,0.668
M15,Doji,0,109,53.2,47.7,0.035
H1,Martillo,1,32,50.0,46.9,-0.326
H1,Hombre colgado,-1,19,52.6,47.4,-0.067
H1,Martillo invertido,1,21,47.6,47.6,0.102
H1,Estrella fugaz,-1,20,70.0,75.0,-0.163
H1,Envolvente alcista,1,86,50.0,46.5,-0.227
H1,Envolvente bajista,-1,76,47.4,50.0,0.081
H1,Harami alcista,1,7,57.1,28.6,-1.044
H1,Harami bajista,-1,22,68.2,68.2,0.57
H1,Pauta penetrante,1,12,58.3,58.3,0.366
H1,Nube oscura,-1,4,0.0,0.0,-1.104
H1,Estrella de la mañana,1,7,42.9,42.9,0.099
H1,Estrella de la tarde,-1,6,50.0,50.0,0.714
H1,Tres soldados blancos,1,29,41.4,31.0,0.028
H1,Tres cuervos negros,-1,19,52.6,47.4,-0.295
H1,Marubozu alcista,1,29,72.4,55.2,0.125
H1,Marubozu bajista,-1,19,42.1,42.1,-0.394
H1,Pinzas de suelo,1,33,54.5,54.5,0.105
H1,Pinzas de techo,-1,33,69.7,48.5,-0.112
H1,Doji,0,99,45.5,47.5,-0.009
H4,Martillo,1,30,66.7,46.7,-0.129
H4,Hombre colgado,-1,28,50.0,67.9,0.08
H4,Martillo invertido,1,22,68.2,59.1,0.149
H4,Estrella fugaz,-1,11,72.7,63.6,-0.192
H4,Envolvente alcista,1,83,44.6,41.0,-0.175
H4,Envolvente bajista,-1,80,56.2,56.2,0.238
H4,Harami alcista,1,23,56.5,43.5,-0.481
H4,Harami bajista,-1,31,54.8,58.1,0.198
H4,Pauta penetrante,1,14,64.3,35.7,-0.311
H4,Nube oscura,-1,11,63.6,54.5,-0.348
H4,Estrella de la mañana,1,10,50.0,50.0,0.314
H4,Estrella de la tarde,-1,7,71.4,42.9,0.06
H4,Tres soldados blancos,1,15,40.0,66.7,0.17
H4,Tres cuervos negros,-1,21,28.6,38.1,-0.233
H4,Marubozu alcista,1,12,66.7,58.3,0.073
H4,Marubozu bajista,-1,9,66.7,55.6,0.822
H4,Pinzas de suelo,1,23,69.6,47.8,-0.462
H4,Pinzas de techo,-1,27,51.9,59.3,0.192
H4,Doji,0,115,53.0,48.7,0.007
D1,Martillo,1,12,58.3,33.3,-0.252
D1,Hombre colgado,-1,16,37.5,43.8,-0.835
D1,Martillo invertido,1,15,73.3,60.0,0.256
D1,Estrella fugaz,-1,19,31.6,10.5,-0.629
D1,Envolvente alcista,1,48,54.2,56.2,0.236
D1,Envolvente bajista,-1,71,35.2,52.1,-0.172
D1,Harami alcista,1,57,52.6,49.1,0.099
D1,Harami bajista,-1,39,48.7,33.3,-0.445
D1,Pauta penetrante,1,11,45.5,63.6,0.491
D1,Nube oscura,-1,7,42.9,57.1,-0.123
D1,Estrella de la mañana,1,7,85.7,42.9,0.826
D1,Estrella de la tarde,-1,9,11.1,33.3,-0.598
D1,Tres soldados blancos,1,42,31.0,45.2,0.017
D1,Tres cuervos negros,-1,11,63.6,63.6,0.632
D1,Marubozu alcista,1,30,50.0,53.3,-0.38
D1,Marubozu bajista,-1,9,55.6,55.6,-0.041
D1,Pinzas de suelo,1,18,55.6,55.6,0.241
D1,Pinzas de techo,-1,26,46.2,42.3,-0.695
D1,Doji,0,95,48.4,49.5,-0.124
