tf,velas_seguidas,color,n,prob_siguiente_igual_pct
M1,1,verdes,242,48.8
M1,1,rojas,244,51.2
M1,2,verdes,118,48.3
M1,2,rojas,125,47.2
M1,3,verdes,57,66.7
M1,3,rojas,59,61.0
M1,4,verdes,38,42.1
M1,4,rojas,36,44.4
M1,5,verdes,16,56.2
M1,5,rojas,16,43.8
M1,6,verdes,9,55.6
M1,6,rojas,7,71.4
M1,7+,verdes,11,54.5
M1,7+,rojas,17,70.6
M5,1,verdes,258,45.7
M5,1,rojas,257,50.6
M5,2,verdes,118,48.3
M5,2,rojas,130,46.2
M5,3,verdes,57,45.6
M5,3,rojas,60,56.7
M5,4,verdes,26,46.2
M5,4,rojas,34,55.9
M5,5,verdes,12,41.7
M5,5,rojas,19,52.6
M5,6,verdes,5,80.0
M5,6,rojas,10,50.0
M5,7+,verdes,5,20.0
M5,7+,rojas,7,28.6
M15,1,verdes,250,48.8
M15,1,rojas,240,51.7
M15,2,verdes,121,47.1
M15,2,rojas,124,47.6
M15,3,verdes,57,54.4
M15,3,rojas,59,52.5
M15,4,verdes,31,67.7
M15,4,rojas,31,38.7
M15,5,verdes,21,38.1
M15,5,rojas,12,50.0
M15,6,verdes,8,37.5
M15,6,rojas,6,66.7
M15,7+,verdes,9,66.7
M15,7+,rojas,6,33.3
H1,1,verdes,239,51.9
H1,1,rojas,237,55.3
H1,2,verdes,124,48.4
H1,2,rojas,131,51.1
H1,3,verdes,60,46.7
H1,3,rojas,67,52.2
H1,4,verdes,28,39.3
H1,4,rojas,35,51.4
H1,5,verdes,11,36.4
H1,5,rojas,18,55.6
H1,6,verdes,4,50.0
H1,6,rojas,10,90.0
H1,7+,verdes,3,33.3
H1,7+,rojas,14,35.7
H4,1,verdes,253,48.2
H4,1,rojas,254,53.5
H4,2,verdes,122,46.7
H4,2,rojas,136,55.1
H4,3,verdes,57,47.4
H4,3,rojas,75,41.3
H4,4,verdes,27,40.7
H4,4,rojas,31,45.2
H4,5,verdes,11,36.4
H4,5,rojas,14,57.1
H4,6,verdes,4,75.0
H4,6,rojas,8,25.0
H4,7+,verdes,3,0.0
H4,7+,rojas,3,33.3
D1,1,verdes,263,53.2
D1,1,rojas,263,42.6
D1,2,verdes,140,52.1
D1,2,rojas,112,43.8
D1,3,verdes,73,41.1
D1,3,rojas,49,44.9
D1,4,verdes,30,50.0
D1,4,rojas,22,40.9
D1,5,verdes,15,33.3
D1,5,rojas,9,55.6
D1,6,verdes,5,80.0
D1,6,rojas,5,40.0
D1,7+,verdes,7,42.9
D1,7+,rojas,6,66.7
