tf,estrategia,sesion,coste,trades,win_rate,pnl_total_usd_oz,prom_usd_oz,profit_factor,max_dd_usd_oz,racha_perd
M1,Retroceso EMA 9/21/50,Asia 00-07,0.3,11,18.2,-13.84,-1.258,0.18,-13.88,5.0
M1,Retroceso EMA 9/21/50,Asia 00-07,0.5,11,18.2,-16.04,-1.458,0.14,-15.68,5.0
M1,Retroceso EMA 9/21/50,Londres 07-12,0.3,11,27.3,-10.09,-0.917,0.42,-7.98,4.0
M1,Retroceso EMA 9/21/50,Londres 07-12,0.5,11,27.3,-12.29,-1.117,0.35,-9.98,4.0
M1,Retroceso EMA 9/21/50,NY 12-17,0.3,10,80.0,19.2,1.92,4.4,-3.07,1.0
M1,Retroceso EMA 9/21/50,NY 12-17,0.5,10,80.0,17.2,1.72,3.85,-3.27,1.0
M1,Retroceso EMA 9/21/50,Tarde NY 17-21,0.3,0,,,,,,
M1,Retroceso EMA 9/21/50,Tarde NY 17-21,0.5,0,,,,,,
M1,Retroceso EMA 9/21/50,Todo el día,0.3,32,40.6,-4.72,-0.148,0.88,-23.97,9.0
M1,Retroceso EMA 9/21/50,Todo el día,0.5,32,40.6,-11.12,-0.348,0.75,-27.97,9.0
M1,Reversión Bollinger+RSI,Asia 00-07,0.3,10,20.0,-10.96,-1.096,0.22,-12.46,7.0
M1,Reversión Bollinger+RSI,Asia 00-07,0.5,10,20.0,-12.96,-1.296,0.18,-13.86,7.0
M1,Reversión Bollinger+RSI,Londres 07-12,0.3,9,66.7,3.02,0.335,1.5,-4.94,2.0
M1,Reversión Bollinger+RSI,Londres 07-12,0.5,9,66.7,1.22,0.135,1.18,-5.74,2.0
M1,Reversión Bollinger+RSI,NY 12-17,0.3,8,37.5,-5.84,-0.73,0.6,-10.0,4.0
M1,Reversión Bollinger+RSI,NY 12-17,0.5,8,37.5,-7.44,-0.93,0.52,-11.0,4.0
M1,Reversión Bollinger+RSI,Tarde NY 17-21,0.3,0,,,,,,
M1,Reversión Bollinger+RSI,Tarde NY 17-21,0.5,0,,,,,,
M1,Reversión Bollinger+RSI,Todo el día,0.3,29,37.9,-16.51,-0.569,0.56,-21.69,7.0
M1,Reversión Bollinger+RSI,Todo el día,0.5,29,37.9,-22.31,-0.769,0.46,-26.89,7.0
M1,Ruptura vela de impulso,Asia 00-07,0.3,25,60.0,21.1,0.844,2.11,-4.52,2.0
M1,Ruptura vela de impulso,Asia 00-07,0.5,25,60.0,16.1,0.644,1.76,-4.92,2.0
M1,Ruptura vela de impulso,Londres 07-12,0.3,20,30.0,-12.79,-0.639,0.58,-15.19,7.0
M1,Ruptura vela de impulso,Londres 07-12,0.5,20,30.0,-16.79,-0.839,0.49,-17.59,7.0
M1,Ruptura vela de impulso,NY 12-17,0.3,23,21.7,-29.28,-1.273,0.45,-34.77,7.0
M1,Ruptura vela de impulso,NY 12-17,0.5,23,21.7,-33.88,-1.473,0.4,-38.17,7.0
M1,Ruptura vela de impulso,Tarde NY 17-21,0.3,0,,,,,,
M1,Ruptura vela de impulso,Tarde NY 17-21,0.5,0,,,,,,
M1,Ruptura vela de impulso,Todo el día,0.3,70,40.0,-17.52,-0.25,0.83,-54.08,9.0
M1,Ruptura vela de impulso,Todo el día,0.5,70,40.0,-31.52,-0.45,0.72,-62.08,9.0
M1,Reversión a 'VWAP' diaria,Asia 00-07,0.3,60,33.3,-33.88,-0.565,0.53,-42.88,12.0
M1,Reversión a 'VWAP' diaria,Asia 00-07,0.5,60,33.3,-45.88,-0.765,0.43,-53.87,12.0
M1,Reversión a 'VWAP' diaria,Londres 07-12,0.3,52,34.6,-24.19,-0.465,0.64,-39.18,10.0
M1,Reversión a 'VWAP' diaria,Londres 07-12,0.5,52,34.6,-34.59,-0.665,0.54,-48.38,10.0
M1,Reversión a 'VWAP' diaria,NY 12-17,0.3,52,53.8,25.74,0.495,1.36,-14.83,4.0
M1,Reversión a 'VWAP' diaria,NY 12-17,0.5,52,53.8,15.34,0.295,1.2,-16.23,4.0
M1,Reversión a 'VWAP' diaria,Tarde NY 17-21,0.3,0,,,,,,
M1,Reversión a 'VWAP' diaria,Tarde NY 17-21,0.5,0,,,,,,
M1,Reversión a 'VWAP' diaria,Todo el día,0.3,165,39.4,-36.18,-0.219,0.83,-63.97,12.0
M1,Reversión a 'VWAP' diaria,Todo el día,0.5,165,39.4,-69.18,-0.419,0.71,-86.37,12.0
M5,Retroceso EMA 9/21/50,Asia 00-07,0.3,16,43.8,1.43,0.089,1.04,-12.88,3.0
M5,Retroceso EMA 9/21/50,Asia 00-07,0.5,16,43.8,-1.77,-0.111,0.95,-14.08,3.0
M5,Retroceso EMA 9/21/50,Londres 07-12,0.3,12,50.0,-1.03,-0.086,0.97,-18.97,2.0
M5,Retroceso EMA 9/21/50,Londres 07-12,0.5,12,50.0,-3.43,-0.286,0.89,-20.77,2.0
M5,Retroceso EMA 9/21/50,NY 12-17,0.3,12,33.3,-15.57,-1.297,0.67,-33.47,6.0
M5,Retroceso EMA 9/21/50,NY 12-17,0.5,12,33.3,-17.97,-1.497,0.63,-34.67,6.0
M5,Retroceso EMA 9/21/50,Tarde NY 17-21,0.3,6,16.7,-17.83,-2.971,0.03,-14.06,3.0
M5,Retroceso EMA 9/21/50,Tarde NY 17-21,0.5,6,16.7,-19.03,-3.171,0.02,-15.06,3.0
M5,Retroceso EMA 9/21/50,Todo el día,0.3,50,38.0,-38.05,-0.761,0.73,-54.48,6.0
M5,Retroceso EMA 9/21/50,Todo el día,0.5,50,38.0,-48.05,-0.961,0.67,-60.48,6.0
M5,Reversión Bollinger+RSI,Asia 00-07,0.3,10,40.0,-5.66,-0.566,0.74,-14.79,4.0
M5,Reversión Bollinger+RSI,Asia 00-07,0.5,10,40.0,-7.66,-0.766,0.66,-15.59,4.0
M5,Reversión Bollinger+RSI,Londres 07-12,0.3,7,71.4,12.99,1.856,2.52,-4.55,1.0
M5,Reversión Bollinger+RSI,Londres 07-12,0.5,7,71.4,11.59,1.656,2.3,-4.75,1.0
M5,Reversión Bollinger+RSI,NY 12-17,0.3,1,0.0,-6.68,-6.677,0.0,0.0,1.0
M5,Reversión Bollinger+RSI,NY 12-17,0.5,1,0.0,-6.88,-6.877,0.0,0.0,1.0
M5,Reversión Bollinger+RSI,Tarde NY 17-21,0.3,3,66.7,2.69,0.896,1.54,0.0,1.0
M5,Reversión Bollinger+RSI,Tarde NY 17-21,0.5,3,66.7,2.09,0.696,1.4,0.0,1.0
M5,Reversión Bollinger+RSI,Todo el día,0.3,21,52.4,3.34,0.159,1.08,-21.63,5.0
M5,Reversión Bollinger+RSI,Todo el día,0.5,21,52.4,-0.86,-0.041,0.98,-23.03,5.0
M5,Ruptura vela de impulso,Asia 00-07,0.3,22,59.1,44.61,2.028,2.2,-10.34,2.0
M5,Ruptura vela de impulso,Asia 00-07,0.5,22,59.1,40.21,1.828,2.03,-10.74,2.0
M5,Ruptura vela de impulso,Londres 07-12,0.3,15,33.3,2.17,0.145,1.05,-21.25,4.0
M5,Ruptura vela de impulso,Londres 07-12,0.5,15,33.3,-0.83,-0.055,0.98,-23.25,4.0
M5,Ruptura vela de impulso,NY 12-17,0.3,19,31.6,-24.75,-1.303,0.69,-35.95,5.0
M5,Ruptura vela de impulso,NY 12-17,0.5,19,31.6,-28.55,-1.503,0.66,-39.35,5.0
M5,Ruptura vela de impulso,Tarde NY 17-21,0.3,10,10.0,-25.09,-2.509,0.26,-34.11,9.0
M5,Ruptura vela de impulso,Tarde NY 17-21,0.5,10,10.0,-27.09,-2.709,0.25,-35.91,9.0
M5,Ruptura vela de impulso,Todo el día,0.3,70,35.7,-14.41,-0.206,0.93,-48.24,8.0
M5,Ruptura vela de impulso,Todo el día,0.5,70,35.7,-28.41,-0.406,0.87,-60.56,8.0
M5,Reversión a 'VWAP' diaria,Asia 00-07,0.3,49,42.9,0.77,0.016,1.01,-35.04,7.0
M5,Reversión a 'VWAP' diaria,Asia 00-07,0.5,49,42.9,-9.03,-0.184,0.92,-39.44,7.0
M5,Reversión a 'VWAP' diaria,Londres 07-12,0.3,38,36.8,-16.85,-0.443,0.85,-43.6,6.0
M5,Reversión a 'VWAP' diaria,Londres 07-12,0.5,38,36.8,-24.45,-0.643,0.79,-49.2,6.0
M5,Reversión a 'VWAP' diaria,NY 12-17,0.3,30,56.7,57.52,1.917,1.82,-22.15,3.0
M5,Reversión a 'VWAP' diaria,NY 12-17,0.5,30,56.7,51.52,1.717,1.7,-24.15,3.0
M5,Reversión a 'VWAP' diaria,Tarde NY 17-21,0.3,18,44.4,5.65,0.314,1.13,-19.59,4.0
M5,Reversión a 'VWAP' diaria,Tarde NY 17-21,0.5,18,44.4,2.05,0.114,1.04,-21.79,4.0
M5,Reversión a 'VWAP' diaria,Todo el día,0.3,139,44.6,46.96,0.338,1.14,-67.05,7.0
M5,Reversión a 'VWAP' diaria,Todo el día,0.5,139,44.6,19.16,0.138,1.05,-77.25,7.0
M5,ORB Londres 07:00 (15 min),Todo el día,0.3,4,50.0,0.69,0.174,1.03,-20.75,2.0
M5,ORB Londres 07:00 (15 min),Todo el día,0.5,4,50.0,-0.11,-0.026,1.0,-21.15,2.0
M5,ORB Nueva York 13:30 (15 min),Todo el día,0.3,4,25.0,-21.08,-5.27,0.38,-17.32,2.0
M5,ORB Nueva York 13:30 (15 min),Todo el día,0.5,4,25.0,-21.88,-5.47,0.37,-17.64,2.0
